County,State,Population_1990,Population_2010,Area
Autauga,Alabama,34222,53155,596.0
Baldwin,Alabama,98280,175791,1596.5
Barbour,Alabama,25417,27699,885.0
Bibb,Alabama,16576,22610,622.4
Blount,Alabama,39248,56692,645.7
Bullock,Alabama,11042,10923,625.1
Butler,Alabama,21892,20895,776.9
Calhoun,Alabama,116034,117149,608.5
Chambers,Alabama,36876,34579,597.4
Cherokee,Alabama,19543,25700,553.2
Chilton,Alabama,32458,43121,694.1
Choctaw,Alabama,16018,14111,913.6
Clarke,Alabama,27240,26255,1238.5
Clay,Alabama,13252,14040,605.1
Cleburne,Alabama,12730,14823,560.2
Coffee,Alabama,40240,48349,679.2
Colbert,Alabama,51666,54446,594.6
Conecuh,Alabama,14054,13382,850.9
Coosa,Alabama,11063,11470,652.5
Covington,Alabama,36478,37608,1034.7
Crenshaw,Alabama,13635,13928,609.6
Cullman,Alabama,67613,79941,738.5
Dale,Alabama,49633,49730,561.1
Dallas,Alabama,48130,44066,980.8
DeKalb,Alabama,54651,70038,778.0
Elmore,Alabama,49210,77650,621.6
Escambia,Alabama,35518,37996,947.5
Etowah,Alabama,99840,104066,534.8
Fayette,Alabama,17962,17472,627.8
Franklin,Alabama,27814,31383,635.7
Geneva,Alabama,23647,26541,576.4
Greene,Alabama,10153,9255,646.0
Hale,Alabama,15498,16168,643.8
Henry,Alabama,15374,17148,562.0
Houston,Alabama,81331,99029,580.4
Jackson,Alabama,47796,53386,1078.8
Jefferson,Alabama,651525,656912,1112.7
Lamar,Alabama,15715,14743,604.9
Lauderdale,Alabama,79661,91762,669.5
Lawrence,Alabama,31513,34235,693.4
Lee,Alabama,87146,135010,608.8
Limestone,Alabama,54135,78614,568.1
Lowndes,Alabama,12658,11731,718.0
Macon,Alabama,24928,21699,610.6
Madison,Alabama,238912,323080,805.0
Marengo,Alabama,23084,21296,977.1
Marion,Alabama,29830,30792,741.5
Marshall,Alabama,70832,90867,567.1
Mobile,Alabama,378643,408620,1233.4
Monroe,Alabama,23968,23329,1026.0
Montgomery,Alabama,209085,228018,789.9
Morgan,Alabama,100043,117632,582.2
Perry,Alabama,12759,10684,719.5
Pickens,Alabama,20699,19917,881.5
Pike,Alabama,27595,32147,671.1
Randolph,Alabama,19881,22817,581.1
Russell,Alabama,46860,51663,641.1
St. Clair,Alabama,50009,80658,634.0
Shelby,Alabama,99358,187880,794.9
Sumter,Alabama,16174,13871,905.0
Talladega,Alabama,74107,82347,739.6
Tallapoosa,Alabama,38826,41534,718.0
Tuscaloosa,Alabama,150522,188331,1325.3
Walker,Alabama,67670,67612,794.5
Washington,Alabama,16694,17556,1080.7
Wilcox,Alabama,13568,12012,888.8
Winston,Alabama,22053,24687,614.5
Aleutians East Borough,Alaska,2464,3703,6984.8
Aleutians West Census Area,Alaska,9478,6259,4402.1
Anchorage,Alaska,226338,284267,1697.6
Bethel Census Area,Alaska,13656,16838,41087.4
Bristol Bay Borough,Alaska,1410,1049,519.2
Dillingham Census Area,Alaska,4012,4817,18466.9
Fairbanks North Star Borough,Alaska,77720,94439,7362.4
Haines Borough,Alaska,2117,1658,2357.0
Juneau City and Borough,Alaska,26751,30975,2593.6
Kenai Peninsula Borough,Alaska,40802,53917,16078.9
Ketchikan Gateway Borough,Alaska,13828,13396,1219.6
Kodiak Island Borough,Alaska,13309,13349,6462.6
Lake and Peninsula Borough,Alaska,1668,1626,23632.3
Matanuska-Susitna Borough,Alaska,39683,84147,24693.6
Nome Census Area,Alaska,8288,9315,23012.6
North Slope Borough,Alaska,5979,8852,87860.5
Northwest Arctic Borough,Alaska,6113,7477,35862.5
Prince of Wales-Hyder Census Area,Alaska,6278,5507,7324.5
Sitka Borough,Alaska,8588,8894,2881.5
Skagway-Yakutat-Angoon Census Area,Alaska,4385,1140,12880.6
Southeast Fairbanks Census Area,Alaska,5913,6935,25994.1
Valdez-Cordova Census Area,Alaska,9952,9606,36945.4
Wade Hampton Census Area,Alaska,5791,7398,17124.1
Petersburg Borough,Alaska,7042,2338,5808.5
Yukon-Koyukuk Census Area,Alaska,8478,5635,157121.3
Apache,Arizona,61591,70312,11205.7
Cochise,Arizona,97624,129268,6170.0
Coconino,Arizona,96591,131824,18619.1
Gila,Arizona,40216,53272,4768.1
Graham,Arizona,26554,36030,4629.6
Greenlee,Arizona,8008,8318,1847.1
La Paz,Arizona,13844,20549,4499.6
Maricopa,Arizona,2122101,3751410,9204.0
Mohave,Arizona,93497,199177,13312.4
Navajo,Arizona,77658,107060,9953.8
Pima,Arizona,666880,964462,9187.0
Pinal,Arizona,116379,329297,5370.0
Santa Cruz,Arizona,29676,46051,1237.7
Yavapai,Arizona,107714,209260,8123.5
Yuma,Arizona,106895,190526,5514.4
Arkansas,Arkansas,21653,19321,988.5
Ashley,Arkansas,24319,22126,921.4
Baxter,Arkansas,31186,41388,554.4
Benton,Arkansas,97499,209911,843.3
Boone,Arkansas,28297,36710,591.2
Bradley,Arkansas,11793,11638,650.7
Calhoun,Arkansas,5826,5529,628.3
Carroll,Arkansas,18654,26971,633.8
Chicot,Arkansas,15713,12102,644.1
Clark,Arkansas,21437,23083,865.5
Clay,Arkansas,18107,16297,639.3
Cleburne,Arkansas,19411,25692,553.1
Cleveland,Arkansas,7781,8769,597.8
Columbia,Arkansas,25691,24756,766.2
Conway,Arkansas,19151,21059,556.2
Craighead,Arkansas,68956,93329,710.8
Crawford,Arkansas,42493,60778,595.5
Crittenden,Arkansas,49939,50673,610.5
Cross,Arkansas,19225,18144,615.9
Dallas,Arkansas,9614,8280,667.5
Desha,Arkansas,16798,13351,765.0
Drew,Arkansas,17369,18546,828.2
Faulkner,Arkansas,60006,108375,647.4
Franklin,Arkansas,14897,18176,609.6
Fulton,Arkansas,10037,12263,618.2
Garland,Arkansas,73397,95290,678.1
Grant,Arkansas,13948,17657,631.8
Greene,Arkansas,31804,41318,577.6
Hempstead,Arkansas,21621,22747,728.8
Hot Spring,Arkansas,26115,32671,615.0
Howard,Arkansas,13569,13778,587.5
Independence,Arkansas,31192,35994,763.8
Izard,Arkansas,11364,13636,580.7
Jackson,Arkansas,18944,18015,633.6
Jefferson,Arkansas,85487,78447,884.8
Johnson,Arkansas,18221,25180,662.2
Lafayette,Arkansas,9643,7764,526.5
Lawrence,Arkansas,17457,17340,586.6
Lee,Arkansas,13053,10709,601.7
Lincoln,Arkansas,13690,14203,561.2
Little River,Arkansas,13966,13145,531.8
Logan,Arkansas,20557,22580,709.9
Lonoke,Arkansas,39268,65846,765.5
Madison,Arkansas,11618,15507,837.0
Marion,Arkansas,12001,16779,597.7
Miller,Arkansas,38467,43048,624.1
Mississippi,Arkansas,57525,46815,898.3
Monroe,Arkansas,11333,8492,606.7
Montgomery,Arkansas,7841,9490,781.0
Nevada,Arkansas,10101,9149,620.0
Newton,Arkansas,7666,8394,823.0
Ouachita,Arkansas,30574,26293,732.5
Perry,Arkansas,7969,10435,551.0
Phillips,Arkansas,28838,22412,692.7
Pike,Arkansas,10086,11286,603.1
Poinsett,Arkansas,24664,24703,757.8
Polk,Arkansas,17347,20490,859.5
Pope,Arkansas,45883,60460,812.0
Prairie,Arkansas,9518,8839,646.0
Pulaski,Arkansas,349660,377060,771.0
Randolph,Arkansas,16558,18049,651.9
St. Francis,Arkansas,28497,28302,633.9
Saline,Arkansas,64183,102439,724.8
Scott,Arkansas,10205,11226,893.9
Searcy,Arkansas,7841,8227,667.2
Sebastian,Arkansas,99590,123847,536.4
Sevier,Arkansas,13637,16636,564.0
Sharp,Arkansas,14109,17432,604.4
Stone,Arkansas,9775,12321,606.6
Union,Arkansas,46719,42180,1039.0
Van Buren,Arkansas,14008,17237,711.6
Washington,Arkansas,113409,197192,950.2
White,Arkansas,54676,74957,1034.1
Woodruff,Arkansas,9520,7505,586.6
Yell,Arkansas,17759,21895,927.9
Alameda,California,1279182,1477980,737.5
Alpine,California,1113,1176,738.7
Amador,California,30039,38327,592.6
Butte,California,182120,218635,1639.6
Calaveras,California,31998,45994,1020.2
Colusa,California,16275,21165,1150.8
Contra Costa,California,803732,1024809,720.3
Del Norte,California,23460,28471,1007.9
El Dorado,California,125995,179053,1711.5
Fresno,California,667490,908830,5963.2
Glenn,California,24798,27935,1314.9
Humboldt,California,119118,133058,3572.8
Imperial,California,109303,168052,4175.1
Inyo,California,18281,18434,10192.1
Kern,California,543477,815693,8141.6
Kings,California,101469,151122,1389.5
Lake,California,50631,64371,1258.5
Lassen,California,27598,35081,4557.5
Los Angeles,California,8863164,9758256,4060.0
Madera,California,88090,147738,2138.4
Marin,California,230096,248601,519.8
Mariposa,California,14302,18290,1451.2
Mendocino,California,80345,87487,3509.3
Merced,California,178403,250699,1928.9
Modoc,California,9678,9605,3944.4
Mono,California,9956,13905,3044.5
Monterey,California,355660,407435,3321.9
Napa,California,110765,134051,753.9
Nevada,California,78510,98186,957.7
Orange,California,2410556,2965525,789.7
Placer,California,172796,336477,1404.4
Plumas,California,19739,20392,2554.0
Riverside,California,1170413,2109464,7208.2
Sacramento,California,1041219,1395144,965.7
San Benito,California,36697,54492,1389.1
San Bernardino,California,1418380,2005287,20062.2
San Diego,California,2498016,3022468,4204.5
San Francisco,California,723959,789172,46.7
San Joaquin,California,480628,673613,1399.3
San Luis Obispo,California,217162,265577,3304.5
San Mateo,California,649623,704327,449.1
Santa Barbara,California,369608,416051,2738.5
Santa Clara,California,1497577,1739396,1291.2
Santa Cruz,California,229734,256901,445.7
Shasta,California,147036,176906,3785.7
Sierra,California,3318,3366,953.4
Siskiyou,California,43531,44690,6287.3
Solano,California,340421,410042,828.2
Sonoma,California,388222,474047,1576.2
Stanislaus,California,370522,509682,1494.6
Sutter,California,64415,93420,602.7
Tehama,California,49625,62575,2951.0
Trinity,California,13063,13701,3178.9
Tulare,California,311921,429404,4824.3
Tuolumne,California,48456,56074,2235.6
Ventura,California,669016,809080,1845.9
Yolo,California,141092,196418,1012.4
Yuba,California,58228,71160,630.5
Adams,Colorado,265038,425330,1192.0
Alamosa,Colorado,13617,15293,722.8
Arapahoe,Colorado,391511,552860,803.2
Archuleta,Colorado,5345,12136,1349.4
Baca,Colorado,4556,3833,2555.9
Bent,Colorado,5048,6125,1514.0
Boulder,Colorado,225339,290177,742.5
Chaffee,Colorado,12684,17540,1013.5
Cheyenne,Colorado,2397,2194,1781.5
Clear Creek,Colorado,7619,9088,395.5
Conejos,Colorado,7453,8220,1287.3
Costilla,Colorado,3190,3536,1227.0
Crowley,Colorado,3946,5897,789.0
Custer,Colorado,1926,3899,738.9
Delta,Colorado,20980,30533,1142.2
Denver,Colorado,467610,578087,153.3
Dolores,Colorado,1504,2027,1067.0
Douglas,Colorado,60391,273440,840.2
Eagle,Colorado,21928,50793,1688.0
Elbert,Colorado,9646,22712,1850.9
El Paso,Colorado,397014,599988,2126.7
Fremont,Colorado,32273,46941,1533.0
Garfield,Colorado,29974,54761,2947.5
Gilpin,Colorado,3070,5126,149.9
Grand,Colorado,7966,14526,1849.8
Gunnison,Colorado,10273,15136,3239.2
Hinsdale,Colorado,467,489,1117.8
Huerfano,Colorado,6009,6948,1590.9
Jackson,Colorado,1605,1464,1613.3
Jefferson,Colorado,438430,528614,772.2
Kiowa,Colorado,1688,1643,1771.1
Kit Carson,Colorado,7140,8156,2161.0
Lake,Colorado,6007,7039,376.9
La Plata,Colorado,32284,50149,1692.1
Larimer,Colorado,186136,291162,2601.4
Las Animas,Colorado,13765,15675,4773.0
Lincoln,Colorado,4529,5476,2586.3
Logan,Colorado,17567,22278,1838.6
Mesa,Colorado,93145,142284,3327.9
Mineral,Colorado,558,1020,875.8
Moffat,Colorado,11357,13519,4742.5
Montezuma,Colorado,18672,25279,2036.9
Montrose,Colorado,24423,40266,2240.7
Morgan,Colorado,21939,27911,1285.5
Otero,Colorado,20185,18830,1262.9
Ouray,Colorado,2295,4319,542.1
Park,Colorado,7174,16286,2200.8
Phillips,Colorado,4189,4394,687.7
Pitkin,Colorado,12661,16389,970.2
Prowers,Colorado,13347,12734,1640.5
Pueblo,Colorado,123051,156244,2388.8
Rio Blanco,Colorado,5972,6494,3221.2
Rio Grande,Colorado,10770,11926,912.6
Routt,Colorado,14088,22924,2361.8
Saguache,Colorado,4619,6161,3168.7
San Juan,Colorado,745,752,387.5
San Miguel,Colorado,3653,7299,1286.5
Sedgwick,Colorado,2690,2412,548.3
Summit,Colorado,12881,27105,608.2
Teller,Colorado,12468,22821,557.1
Washington,Colorado,4812,4773,2521.2
Weld,Colorado,131821,242860,3992.8
Yuma,Colorado,8954,9896,2366.1
Fairfield,Connecticut,827645,905342,625.9
Hartford,Connecticut,851783,887976,735.5
Litchfield,Connecticut,174092,189916,920.0
Middlesex,Connecticut,143196,164774,369.3
New Haven,Connecticut,804219,856688,605.8
New London,Connecticut,254957,272360,666.1
Tolland,Connecticut,128699,151073,410.1
Windham,Connecticut,102525,117708,512.8
Kent,Delaware,110993,156918,590.7
New Castle,Delaware,441946,533514,426.3
Sussex,Delaware,113229,190846,937.7
District of Columbia,District of Columbia,606900,584400,61.4
Alachua,Florida,181596,244247,874.3
Baker,Florida,18486,26548,585.2
Bay,Florida,126994,166798,763.7
Bradford,Florida,22515,28750,293.2
Brevard,Florida,398978,540583,1018.5
Broward,Florida,1255488,1734139,1208.9
Calhoun,Florida,11011,14372,567.4
Charlotte,Florida,110975,159385,693.7
Citrus,Florida,93515,140686,583.6
Clay,Florida,105986,186076,601.1
Collier,Florida,152099,316931,2025.5
Columbia,Florida,42613,66964,797.2
Miami-Dade,Florida,1937094,2445374,1944.7
DeSoto,Florida,23865,34557,637.3
Dixie,Florida,10585,16196,704.1
Duval,Florida,672971,854848,773.9
Escambia,Florida,262798,297940,663.6
Flagler,Florida,28701,91806,485.0
Franklin,Florida,8967,11470,534.0
Gadsden,Florida,41105,46031,516.2
Gilchrist,Florida,9667,16683,348.9
Glades,Florida,7591,12617,773.5
Gulf,Florida,11504,15879,565.1
Hamilton,Florida,10930,14696,514.9
Hardee,Florida,19499,27521,637.4
Hendry,Florida,25773,39030,1152.7
Hernando,Florida,101115,170337,478.3
Highlands,Florida,68432,98807,1028.5
Hillsborough,Florida,834054,1200236,1051.0
Holmes,Florida,15778,19992,482.5
Indian River,Florida,90208,135518,503.2
Jackson,Florida,41375,49334,915.8
Jefferson,Florida,11296,14583,597.8
Lafayette,Florida,5578,8506,542.8
Lake,Florida,152104,291671,953.1
Lee,Florida,335113,606165,803.6
Leon,Florida,192493,270409,666.8
Levy,Florida,25923,40415,1118.4
Liberty,Florida,5569,8230,835.9
Madison,Florida,16569,19300,692.0
Manatee,Florida,211707,318619,741.2
Marion,Florida,194833,326833,1579.0
Martin,Florida,100900,144322,555.7
Monroe,Florida,78024,73065,997.3
Nassau,Florida,43941,71099,651.6
Okaloosa,Florida,143776,182076,935.8
Okeechobee,Florida,29627,39883,774.3
Orange,Florida,677491,1116094,907.6
Osceola,Florida,107728,258531,1322.0
Palm Beach,Florida,863518,1299356,2034.3
Pasco,Florida,281131,456514,745.0
Pinellas,Florida,851659,918263,280.2
Polk,Florida,405382,590116,1874.9
Putnam,Florida,65070,74715,722.2
St. Johns,Florida,83829,180624,609.0
St. Lucie,Florida,150171,269659,572.5
Santa Rosa,Florida,81608,147838,1015.8
Sarasota,Florida,277776,376200,571.8
Seminole,Florida,287529,417330,308.2
Sumter,Florida,31577,85891,545.7
Suwannee,Florida,26780,40675,687.7
Taylor,Florida,17111,22000,1041.9
Union,Florida,10252,15375,240.3
Volusia,Florida,370712,496053,1105.9
Wakulla,Florida,14202,29368,606.7
Walton,Florida,27760,53366,1057.7
Washington,Florida,16919,24125,579.9
Appling,Georgia,15744,18050,508.8
Atkinson,Georgia,6213,8332,338.1
Bacon,Georgia,9566,10969,285.0
Baker,Georgia,3615,3657,343.2
Baldwin,Georgia,39530,46905,258.5
Banks,Georgia,10308,17840,233.7
Barrow,Georgia,29721,66359,162.2
Bartow,Georgia,55911,97423,459.9
Ben Hill,Georgia,16245,17631,251.8
Berrien,Georgia,14153,18708,452.5
Bibb,Georgia,149967,154810,250.0
Bleckley,Georgia,10430,12937,217.4
Brantley,Georgia,11077,17650,444.4
Brooks,Georgia,15398,16338,493.7
Bryan,Georgia,15438,29039,441.8
Bulloch,Georgia,43125,67298,682.6
Burke,Georgia,20579,23083,830.6
Butts,Georgia,15326,23401,186.6
Calhoun,Georgia,5013,6488,280.2
Camden,Georgia,30167,49293,629.9
Candler,Georgia,7744,10715,247.0
Carroll,Georgia,71422,109227,499.3
Catoosa,Georgia,42464,62951,162.2
Charlton,Georgia,8496,12310,780.8
Chatham,Georgia,216935,256428,440.4
Chattahoochee,Georgia,16934,11702,248.8
Chattooga,Georgia,22242,25985,313.8
Cherokee,Georgia,90204,206283,423.7
Clarke,Georgia,87594,115070,120.8
Clay,Georgia,3364,2981,195.2
Clayton,Georgia,182052,260156,142.6
Clinch,Georgia,6160,6841,809.4
Cobb,Georgia,447745,677402,340.2
Coffee,Georgia,29592,41647,599.1
Colquitt,Georgia,36645,44712,552.3
Columbia,Georgia,66031,117858,290.0
Cook,Georgia,13456,16976,229.1
Coweta,Georgia,53853,121528,443.1
Crawford,Georgia,8991,12821,325.1
Crisp,Georgia,20011,23182,273.8
Dade,Georgia,13147,16595,173.9
Dawson,Georgia,9429,21758,211.0
Decatur,Georgia,25511,27920,596.8
DeKalb,Georgia,545837,685371,268.3
Dodge,Georgia,17607,21402,500.6
Dooly,Georgia,9901,14283,393.0
Dougherty,Georgia,96311,94514,329.7
Douglas,Georgia,71120,127800,199.3
Early,Georgia,11854,11286,511.3
Echols,Georgia,2334,3973,404.2
Effingham,Georgia,25687,50513,479.5
Elbert,Georgia,18949,20421,368.8
Emanuel,Georgia,20546,22348,686.0
Evans,Georgia,8724,10966,185.0
Fannin,Georgia,15992,23337,385.8
Fayette,Georgia,62415,105344,197.4
Floyd,Georgia,81251,95810,513.3
Forsyth,Georgia,44083,163885,225.8
Franklin,Georgia,16650,22121,263.3
Fulton,Georgia,648951,886982,528.7
Gilmer,Georgia,13368,28076,426.7
Glascock,Georgia,2357,3007,144.2
Glynn,Georgia,62496,77632,422.4
Gordon,Georgia,35072,54059,355.2
Grady,Georgia,20279,24738,458.2
Greene,Georgia,11793,15844,388.4
Gwinnett,Georgia,352910,778022,432.9
Habersham,Georgia,27621,42212,278.2
Hall,Georgia,95428,175001,393.7
Hancock,Georgia,8908,9649,473.3
Haralson,Georgia,21966,28574,282.2
Harris,Georgia,17788,30807,463.8
Hart,Georgia,19712,25024,232.2
Heard,Georgia,8628,11720,296.1
Henry,Georgia,58741,193717,322.7
Houston,Georgia,89208,134880,376.8
Irwin,Georgia,8649,9642,356.8
Jackson,Georgia,30005,58347,342.4
Jasper,Georgia,8453,13695,370.5
Jeff Davis,Georgia,12032,14558,333.4
Jefferson,Georgia,17408,16919,527.7
Jenkins,Georgia,8247,8400,349.8
Johnson,Georgia,8329,9967,304.4
Jones,Georgia,20739,28292,393.8
Lamar,Georgia,13038,17837,184.8
Lanier,Georgia,5531,9404,186.8
Laurens,Georgia,39988,48034,812.6
Lee,Georgia,16250,27998,355.8
Liberty,Georgia,52745,63854,519.1
Lincoln,Georgia,7442,8111,211.1
Long,Georgia,6202,13142,401.0
Lowndes,Georgia,75981,104916,504.3
Lumpkin,Georgia,14573,28875,284.5
McDuffie,Georgia,20119,21719,259.8
McIntosh,Georgia,8634,13817,433.5
Macon,Georgia,13114,14553,403.3
Madison,Georgia,21050,27798,284.4
Marion,Georgia,5590,8403,367.1
Meriwether,Georgia,22411,22425,503.4
Miller,Georgia,6280,6128,283.1
Mitchell,Georgia,20275,23697,512.0
Monroe,Georgia,17113,25864,395.7
Montgomery,Georgia,7163,9138,245.3
Morgan,Georgia,12883,17741,349.7
Murray,Georgia,26147,39925,344.4
Muscogee,Georgia,179278,187629,216.3
Newton,Georgia,41808,96833,276.4
Oconee,Georgia,17618,31508,185.8
Oglethorpe,Georgia,9763,14556,441.1
Paulding,Georgia,41611,134875,313.6
Peach,Georgia,21189,26883,151.1
Pickens,Georgia,14432,29155,232.1
Pierce,Georgia,13328,18205,343.0
Pike,Georgia,10224,17411,218.4
Polk,Georgia,33815,41095,311.2
Pulaski,Georgia,8108,11632,247.4
Putnam,Georgia,14137,20925,344.5
Quitman,Georgia,2209,2528,151.6
Rabun,Georgia,11648,16266,371.1
Randolph,Georgia,8023,7724,429.3
Richmond,Georgia,189719,198170,324.1
Rockdale,Georgia,54091,83135,130.7
Schley,Georgia,3588,4755,167.6
Screven,Georgia,13842,14799,648.5
Seminole,Georgia,9010,8797,238.1
Spalding,Georgia,54457,63304,198.0
Stephens,Georgia,23257,25876,179.3
Stewart,Georgia,5654,5831,458.7
Sumter,Georgia,30228,32865,485.3
Talbot,Georgia,6524,6920,393.2
Taliaferro,Georgia,1915,2041,195.4
Tattnall,Georgia,17722,24263,483.7
Taylor,Georgia,7642,8875,377.5
Telfair,Georgia,11000,16052,441.2
Terrell,Georgia,10653,9647,335.5
Thomas,Georgia,38986,44451,548.4
Tift,Georgia,34998,39823,265.1
Toombs,Georgia,24072,27151,366.7
Towns,Georgia,6754,10430,166.5
Treutlen,Georgia,5994,6835,200.7
Troup,Georgia,55536,65652,413.9
Turner,Georgia,8703,9025,286.1
Twiggs,Georgia,9806,9385,360.4
Union,Georgia,11993,21083,322.7
Upson,Georgia,26300,27308,325.5
Walker,Georgia,58340,67845,446.3
Walton,Georgia,38586,81491,329.3
Ware,Georgia,35471,36006,902.6
Warren,Georgia,6078,5936,285.5
Washington,Georgia,19112,21112,680.5
Wayne,Georgia,22356,29705,644.7
Webster,Georgia,2263,2727,209.6
Wheeler,Georgia,4903,7093,297.7
White,Georgia,13006,26498,241.6
Whitfield,Georgia,72462,99910,290.0
Wilcox,Georgia,7008,9041,380.4
Wilkes,Georgia,10597,10580,471.4
Wilkinson,Georgia,10228,9685,446.6
Worth,Georgia,19745,21712,569.8
Hawaii,Hawaii,120317,180362,4028.2
Honolulu,Hawaii,836231,936984,600.2
Kalawao,Hawaii,130,74,13.2
Kauai,Hawaii,51177,65460,622.5
Maui,Hawaii,100374,150711,1159.3
Ada,Idaho,205775,380718,1055.0
Adams,Idaho,3254,3942,1364.7
Bannock,Idaho,66026,80701,1113.2
Bear Lake,Idaho,6084,6026,971.4
Benewah,Idaho,7937,9302,776.0
Bingham,Idaho,37583,44496,2094.8
Blaine,Idaho,13552,21329,2644.9
Boise,Idaho,3509,7122,1902.5
Bonner,Idaho,26622,40711,1737.6
Bonneville,Idaho,72207,100213,1868.6
Boundary,Idaho,8332,10792,1268.8
Butte,Idaho,2918,2842,2232.9
Camas,Idaho,727,1216,1075.0
Canyon,Idaho,90076,182723,589.8
Caribou,Idaho,6963,6900,1766.1
Cassia,Idaho,19532,22109,2566.6
Clark,Idaho,762,857,1764.7
Clearwater,Idaho,8505,8766,2461.6
Custer,Idaho,4133,4277,4925.6
Elmore,Idaho,21205,26669,3077.8
Franklin,Idaho,9232,12497,665.5
Fremont,Idaho,10937,13062,1866.8
Gem,Idaho,11844,16778,562.6
Gooding,Idaho,11633,15140,730.8
Idaho,Idaho,13783,15947,8485.2
Jefferson,Idaho,16543,24523,1095.1
Jerome,Idaho,15138,21282,599.9
Kootenai,Idaho,69795,134851,1245.2
Latah,Idaho,30617,36645,1076.7
Lemhi,Idaho,6899,7861,4564.3
Lewis,Idaho,3516,3761,479.1
Lincoln,Idaho,3308,5021,1205.6
Madison,Idaho,23674,36413,471.6
Minidoka,Idaho,19361,19524,759.7
Nez Perce,Idaho,33754,38886,849.1
Oneida,Idaho,3492,4212,1200.4
Owyhee,Idaho,8392,11389,7678.4
Payette,Idaho,16434,22451,407.5
Power,Idaho,7086,7633,1405.7
Shoshone,Idaho,13931,12917,2634.0
Teton,Idaho,3439,9413,450.4
Twin Falls,Idaho,53580,74929,1925.1
Valley,Idaho,6109,9846,3678.2
Washington,Idaho,8550,10105,1456.4
Adams,Illinois,66090,67030,856.7
Alexander,Illinois,10626,8449,236.4
Bond,Illinois,14991,17904,380.2
Boone,Illinois,30806,53567,281.4
Brown,Illinois,5836,6897,305.7
Bureau,Illinois,35688,35083,868.6
Calhoun,Illinois,5322,5118,253.8
Carroll,Illinois,16805,15615,444.2
Cass,Illinois,13437,13648,376.0
Champaign,Illinois,173025,197867,997.2
Christian,Illinois,34418,34936,709.1
Clark,Illinois,15921,16545,501.5
Clay,Illinois,14460,13927,469.3
Clinton,Illinois,33944,37395,474.3
Coles,Illinois,51644,53568,508.3
Cook,Illinois,5105067,5172848,945.7
Crawford,Illinois,19464,19864,443.6
Cumberland,Illinois,10670,11073,346.0
DeKalb,Illinois,77932,104026,634.2
De Witt,Illinois,16516,16672,397.6
Douglas,Illinois,19464,20012,416.9
DuPage,Illinois,781666,911481,334.4
Edgar,Illinois,19595,18776,623.6
Edwards,Illinois,7440,6707,222.4
Effingham,Illinois,31704,34232,478.7
Fayette,Illinois,20893,22007,716.5
Ford,Illinois,14275,14113,485.9
Franklin,Illinois,40319,39528,412.1
Fulton,Illinois,38080,37205,865.7
Gallatin,Illinois,6909,5773,323.7
Greene,Illinois,15317,13983,543.1
Grundy,Illinois,32337,48744,420.1
Hamilton,Illinois,8499,8453,435.2
Hancock,Illinois,21373,19227,794.7
Hardin,Illinois,5189,4402,178.3
Henderson,Illinois,8096,7462,378.8
Henry,Illinois,51159,50477,823.3
Iroquois,Illinois,30787,30068,1116.5
Jackson,Illinois,61067,59864,588.1
Jasper,Illinois,10609,9752,494.4
Jefferson,Illinois,37020,39202,571.1
Jersey,Illinois,20539,22932,369.2
Jo Daviess,Illinois,21821,22728,601.2
Johnson,Illinois,11347,12710,346.0
Kane,Illinois,317471,502628,520.7
Kankakee,Illinois,96255,112100,677.5
Kendall,Illinois,39413,105602,320.7
Knox,Illinois,56393,52932,716.3
Lake,Illinois,516418,697179,447.8
LaSalle,Illinois,106913,113789,1135.0
Lawrence,Illinois,15972,16849,372.0
Lee,Illinois,34392,36100,725.4
Livingston,Illinois,39301,39010,1043.8
Logan,Illinois,30798,30440,618.2
McDonough,Illinois,35244,32730,589.3
McHenry,Illinois,183241,306050,604.1
McLean,Illinois,129180,166706,1183.6
Macon,Illinois,117206,110719,580.6
Macoupin,Illinois,47679,47980,863.7
Madison,Illinois,249238,268005,725.1
Marion,Illinois,41561,39722,572.3
Marshall,Illinois,12846,12763,386.1
Mason,Illinois,16269,14921,539.0
Massac,Illinois,14752,15425,239.1
Menard,Illinois,11164,12702,314.3
Mercer,Illinois,17290,16551,561.1
Monroe,Illinois,22422,32431,388.3
Montgomery,Illinois,30728,30230,703.8
Morgan,Illinois,36397,35755,568.8
Moultrie,Illinois,13930,14723,335.6
Ogle,Illinois,45957,53578,758.9
Peoria,Illinois,182827,185108,619.6
Perry,Illinois,21412,22488,441.0
Piatt,Illinois,15548,16708,440.0
Pike,Illinois,17577,16580,830.3
Pope,Illinois,4373,4426,370.9
Pulaski,Illinois,7523,6262,200.8
Putnam,Illinois,5730,5982,159.8
Randolph,Illinois,34583,33567,578.4
Richland,Illinois,16545,16166,360.2
Rock Island,Illinois,148723,147524,426.8
St. Clair,Illinois,262852,266727,663.9
Saline,Illinois,26551,25171,383.3
Sangamon,Illinois,178386,195288,868.3
Schuyler,Illinois,7498,7527,437.4
Scott,Illinois,5644,5374,251.0
Shelby,Illinois,22261,22362,758.6
Stark,Illinois,6534,6086,287.9
Stephenson,Illinois,48052,47791,564.3
Tazewell,Illinois,123692,133863,648.9
Union,Illinois,17619,17959,416.2
Vermilion,Illinois,88257,82033,899.1
Wabash,Illinois,13111,12141,223.5
Warren,Illinois,19181,17745,542.6
Washington,Illinois,14965,14841,562.7
Wayne,Illinois,17241,16846,713.9
